ps_id,d_20180709,d_20180721,d_20180802,d_20180814,d_20180826,d_20180907,d_20180919,d_20181001,d_20181013,d_20181025,d_20181106,d_20181118,d_20181130,d_20181212,d_20181224,d_20190105,d_20190117,d_20190129
12173,0.0,-7.3192935,2.756482,0.7675318,-4.1785913,-4.911566,-6.072566,4.050683,2.251123,-3.462606,-10.566953,-8.173411,-8.173411,-8.173411,-1.2456816,-1.198715,-10.996734,-11.617632
12174,0.0,-7.3269367,2.5948656,0.8006008,-4.281921,-5.2184772,-6.219138,4.0629053,2.368275,-3.7897875,-10.66065,-8.151007,-8.151007,-8.151007,-1.0846561,-0.89920455,-10.923488,-11.362734
12175,0.0,-7.41635,2.4329698,0.7914589,-4.591228,-5.766971,-6.6891775,3.75544,2.1113572,-4.2979293,-10.75489,-8.45264,-8.45264,-8.45264,-1.2319381,-0.83510387,-11.12392,-11.536103
12176,0.0,-7.6973176,2.4964275,0.9556188,-5.914266,-8.824941,-8.321815,2.5133767,-0.09797247,-5.3502154,-9.741483,-11.753742,-11.753742,-11.753742,-2.2928708,-3.8136425,-14.836322,-15.732155
12177,0.0,-2.767689,1.9650233,-4.276238,-8.07752,-8.260154,-5.356221,5.3809586,4.8993015,4.8993015,4.8993015,4.8993015,13.885039,18.360989,28.389801,23.505844,14.303353,14.084008
12178,0.0,-2.5676963,1.6790838,-4.131822,-7.881864,-7.7701135,-5.187493,5.709128,5.5422664,-8.397871,-17.162146,-7.8856473,0.2647265,5.2704673,15.501137,11.197443,1.8187988,1.2395264
12179,0.0,-2.533834,1.6761876,-3.9544375,-7.6754265,-7.56147,-5.196709,5.830727,5.7246633,-7.7766495,-16.552553,-7.384117,0.8120401,6.0487094,16.613348,12.358044,2.6351504,2.2766516
12180,0.0,-2.2066853,-0.44746873,-7.1920257,-12.245786,-13.692215,-10.444293,-24.271847,-24.271847,-24.271847,-24.271847,-24.271847,-21.03847,-21.641018,-34.52324,-47.776325,-58.60363,-56.971077
12181,0.0,-1.7204456,-2.6610262,-10.625957,-14.969266,-17.21917,-12.029743,-0.5277666,-2.3751905,11.243682,-1.7860076,8.591324,9.017527,5.187904,17.658031,5.19073,-3.489015,-1.7439274
12182,0.0,0.0,-5.3042116,-13.783738,-22.911263,-24.714302,-24.537859,-11.793326,-16.120129,-3.9686866,-16.786505,-11.668626,-10.956387,-5.1838584,6.914843,-6.8400655,-13.928574,-18.815804
12183,0.0,9.675068,9.182174,21.286634,12.35589,8.062969,3.1578648,13.603969,12.231654,21.028564,8.627926,10.69294,10.69294,10.69294,20.602125,9.828625,0.5351729,-1.8736333
12184,0.0,-2.949638,3.5419655,3.5419655,3.5419655,-2.794964,-5.1843295,-0.07163156,-5.690924,-5.690924,-5.690924,-5.690924,-5.690924,-5.690924,3.392563,-5.4145103,-16.836994,-16.836994
12185,0.0,-8.798109,-2.9619899,-14.612371,-14.612371,-14.612371,-17.518023,-19.162157,-21.676764,-34.21705,-37.21687,-31.638174,-44.048233,-36.637352,-30.336449,-32.62095,-45.802074,-45.802074
