ps_id,lon,lat,x_radar,y_radar,iy,ix,velocity_mm_yr,rmse_mm,psf,corr_median,valid_pair_count,first_date,last_date,displacement_first_mm,displacement_last_mm,displacement_delta_mm,corr_mean
103,-44.0770627651371,-20.06500845770985,18975.5,1250.5,46,1352,74.04576,0.14326146,0.9100586,0.4712349,18,2018-07-09,2019-01-29,0.0,51.069523,51.069523,0.47506735
104,-44.07797934209596,-20.064811633205903,19001.5,1250.5,46,1378,-74.71367,0.10705938,0.9963986,0.81573856,26,2018-07-09,2019-01-29,0.0,-49.877804,-49.877804,0.74501723
105,-44.07820446626128,-20.06474602503792,19006.5,1250.5,46,1383,-35.896748,0.08132428,0.9382105,0.74242723,27,2018-07-09,2019-01-29,0.0,-16.443804,-16.443804,0.72150624
106,-44.078542152509286,-20.064614808701954,19014.5,1250.5,46,1391,-4.7512546,0.0995267,0.91535735,0.5764432,21,2018-07-09,2019-01-29,0.0,-3.532924,-3.532924,0.52674323
107,-44.079957218691376,-20.064352376030023,19067.5,1250.5,46,1444,41.40373,0.07359228,1.2098753,0.70205617,26,2018-07-09,2019-01-29,0.0,37.839848,37.839848,0.69899
108,-44.06259049736572,-20.06868251511689,18472.5,1251.5,47,849,62.98201,0.14739199,1.04802,0.5028453,22,2018-07-09,2019-01-29,0.0,41.96675,41.96675,0.5382124
109,-44.064471892176,-20.068157649773028,18533.5,1251.5,47,910,-10.059151,0.07743341,0.9818072,0.89793634,26,2018-07-09,2019-01-29,0.0,-6.199969,-6.199969,0.80444515
110,-44.06567791449028,-20.067895217101096,18571.5,1251.5,47,948,-15.864718,0.031264875,0.9356967,0.80821943,26,2018-07-09,2019-01-29,0.0,-6.949209,-6.949209,0.7705738
111,-44.065870878060565,-20.067895217101096,18576.5,1251.5,47,953,32.34327,0.056443915,0.93596214,0.64531314,23,2018-07-09,2019-01-29,0.0,16.152184,16.152184,0.6380547
112,-44.06908693756532,-20.067107919085302,18714.5,1251.5,47,1091,89.66882,0.07197743,0.9024124,0.80175114,28,2018-07-09,2019-01-29,0.0,53.578808,53.578808,0.7879046
113,-44.07616226847577,-20.065402106717748,18948.5,1251.5,47,1325,-15.411772,0.14071646,0.9053002,0.51545477,20,2018-07-09,2019-01-29,0.0,4.7997637,4.7997637,0.5192985
114,-44.07989289750128,-20.06448359236599,19062.5,1251.5,47,1439,20.18002,0.07083007,0.9917421,0.7678515,25,2018-07-09,2019-01-29,0.0,11.195195,11.195195,0.7086673
115,-44.08047178821214,-20.064352376030023,19085.5,1251.5,47,1462,-9.837631,0.059239928,0.98328686,0.6499851,25,2018-07-09,2019-01-29,0.0,-1.0864662,-1.0864662,0.66876125
116,-44.068057798523796,-20.0675015680932,18668.5,1252.5,48,1045,-7.0880094,0.095756486,0.90346986,0.49039894,19,2018-07-09,2019-01-29,0.0,-11.309566,-11.309566,0.49473348
117,-44.06905477697027,-20.067239135421268,18711.5,1252.5,48,1088,-13.575711,0.17785297,1.1113039,0.43878138,16,2018-07-09,2019-01-29,0.0,1.109612,1.109612,0.4136391
118,,,18739.5,1252.5,48,1116,68.656075,0.101810865,1.0025928,0.56770027,19,2018-07-09,2019-01-29,0.0,35.840282,35.840282,0.51867163
119,-44.07006783571427,-20.066976702749336,18747.5,1252.5,48,1124,-177.40561,0.054963145,0.9503578,0.56334996,23,2018-07-09,2019-01-29,0.0,-83.12121,-83.12121,0.5774175
120,-44.07484368407882,-20.065795755725645,18908.5,1252.5,48,1285,13.943611,0.11311582,0.9235632,0.6145593,23,2018-07-09,2019-01-29,0.0,7.112564,7.112564,0.611801
121,-44.0796356127409,-20.064614808701954,19051.5,1252.5,48,1428,-2.0689752,0.06252938,0.94453037,0.59657097,22,2018-07-09,2019-01-29,0.0,3.4091864,3.4091864,0.5834665
122,-44.06365179700229,-20.06868251511689,18509.5,1253.5,49,886,-63.918888,0.06824169,0.91750675,0.65207493,26,2018-07-09,2019-01-29,0.0,-42.95888,-42.95888,0.62095803
123,-44.06443973158095,-20.06842008244496,18531.5,1253.5,49,908,8.497457,0.041224908,0.9525195,1.0,28,2018-07-09,2019-01-29,0.0,2.5311434,2.5311434,0.9631869
124,-44.06466485574629,-20.06842008244496,18535.5,1253.5,49,912,-39.6655,0.055170216,0.9544628,0.91120696,26,2018-07-09,2019-01-29,0.0,-17.100199,-17.100199,0.8132634
125,-44.06551711151504,-20.068157649773028,18564.5,1253.5,49,941,9.971691,0.10520709,0.9099257,0.52687943,17,2018-07-09,2019-01-29,0.0,13.917273,13.917273,0.51857394
126,-44.07820446626128,-20.065139674045817,19009.5,1253.5,49,1386,30.428385,0.045287687,0.98101693,0.81410384,28,2018-07-09,2019-01-29,0.0,6.9343286,6.9343286,0.7705315
