point_id,longitude,latitude,velocity_mm_yr,dem_error_m,gamma,rmse_rad,amplitude_dispersion_index,mean_amplitude,valid_pair_count,2018-01-10,2018-01-22,2018-02-03,2018-02-15,2018-02-27,2018-03-11,2018-03-23,2018-04-04,2018-04-16,2018-04-28,2018-05-10,2018-05-22,2018-06-03,2018-06-15,2018-06-27,2018-07-09,2018-07-21,2018-08-02,2018-08-14,2018-08-26,2018-09-07,2018-09-19,2018-10-01,2018-10-13,2018-10-25,2018-11-06,2018-11-18,2018-11-30,2018-12-12,2018-12-24,2019-01-05,2019-01-17,2019-01-29
842,-44.161892364687866,-20.07708036061869,-62.0,36.0,0.98912096,0.14776096,0.22787876,9.263296e-05,32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.9601958e-15,9.764377,7.3208485,5.543437,6.883692,8.223946,9.5642,10.904455,12.244709,13.584964,14.925219,12.771648,14.69107,9.571258,10.307413,8.408157,4.416205
843,-44.09715038370853,-20.098731056053037,-42.0,-16.0,0.8399253,0.5894708,0.22958055,0.00012341807,32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,10.984456,9.505269,7.9603176,5.55216,6.8362513,9.158008,7.5303974,6.7029204,6.7029204,6.7029204,6.7029204,6.7029204,6.7029204,6.7029204,6.7029204,6.7029204
849,-44.09689296032491,-20.098862272389,-40.0,-16.0,0.8082655,0.64302075,0.23864205,0.00013250821,32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,11.218113,8.18207,7.723343,4.883487,7.089153,7.0175977,7.99281,6.8504515,8.046386,9.24232,10.438254,11.634189,12.830123,14.026057,15.221992,16.417927
878,-44.15532806840567,-20.07944225466608,-60.0,40.0,0.98164153,0.19241036,0.24028865,0.00024076854,32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.9601958e-15,8.875369,7.6279325,4.874118,2.2348542,4.380201,6.5255475,8.670894,10.81624,12.961587,15.106934,15.676252,14.802938,10.595848,13.647515,9.673957,4.7741466
879,-44.15172414103505,-20.083772393752945,-62.0,40.0,0.94224805,0.34635422,0.23466736,0.00017846754,32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-5.8805872e-15,9.299945,8.132733,3.7111397,5.4044294,7.097719,8.791009,10.484299,12.177588,13.870878,15.564168,14.290977,13.99401,5.7649117,12.527791,11.474838,3.9072545
881,-44.09727909540033,-20.098731056053037,-40.0,-16.0,0.8462761,0.57560474,0.22890337,7.089602e-05,32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.9601958e-15,11.405592,10.081006,9.919745,11.595595,9.698558,11.46479,8.643684,5.927207,5.927207,5.927207,5.927207,5.927207,5.927207,5.927207,5.927207,5.927207
902,-44.09135835757717,-20.090201994215263,-54.0,-32.0,0.9236139,0.3990633,0.23943725,0.00012808619,32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.9601958e-15,11.562496,10.338524,7.7500997,8.510437,7.073169,7.240372,6.9154305,8.451828,9.988225,11.524622,13.06102,14.597417,16.133814,17.670212,14.726111,12.521082
917,-44.0917444926526,-20.09164537391089,-66.0,-28.0,0.8399489,0.58606946,0.23359168,6.524553e-05,32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.9601958e-15,11.853863,11.224465,10.894169,7.39514,7.618952,6.37566,6.2122555,8.570406,10.928556,13.286707,15.644858,18.003008,17.431017,16.859026,12.476835,8.993326
922,-44.095863266790445,-20.09702524368548,-32.0,-16.0,0.8334973,0.6023138,0.22462654,0.00019463511,32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,12.968401,12.47721,12.478275,10.429639,9.5229845,11.076377,10.860041,8.709826,7.290491,7.166496,7.0425005,7.807381,8.739825,8.739825,8.739825,8.739825
953,-44.09715038370853,-20.098862272389,-42.0,-12.0,0.81594616,0.6319421,0.22483456,0.00016212075,32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,10.485586,9.155919,7.257842,4.637068,8.0788765,7.905226,5.996936,4.875933,6.1970124,7.5180917,8.83917,10.16025,11.481329,12.802408,14.123487,15.444566
988,-44.1591894191599,-20.06592697206161,-64.0,36.0,0.9466307,0.33186823,0.23593827,9.492854e-05,32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.9601958e-15,7.629846,7.3346553,4.267941,6.241083,8.214225,10.187367,12.160509,14.133652,13.066898,12.000146,10.683531,10.496552,3.8478775,6.8778296,3.4965389,3.4965389
991,-44.1575161671664,-20.08482212444067,-60.0,40.0,0.9994936,0.03182455,0.23950803,0.00027012592,32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-9.800979e-16,8.325995,6.650197,4.5846357,5.834229,7.0838227,8.333416,9.58301,10.832603,12.082196,13.33179,13.363751,13.083098,9.216098,10.654532,7.7075806,3.876027
1001,-44.161892364687866,-20.076817927946763,-64.0,32.0,0.96615434,0.26191953,0.23441048,8.023096e-05,32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.9601958e-15,9.958157,8.825103,6.024746,7.4473367,8.869927,10.292519,11.715109,13.1377,14.56029,15.982882,13.64594,14.698337,11.470032,10.356695,9.815265,4.3956666
1002,-44.09444743818056,-20.09492578231003,-34.0,-32.0,1.0,0.00039513933,0.22878867,0.00025367626,32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-12.366535,-13.952633,-14.834676,-14.382298,-13.754643,-13.048118,-13.7081375,-18.029482,-18.35323,-18.676975,-18.676975,-18.676975,-18.676975,-18.676975,-18.676975,-18.676975
1010,-44.15365481641216,-20.083509961081013,-62.0,40.0,0.99335134,0.11545927,0.23778822,0.00019389139,32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.9601958e-15,9.504327,7.87029,5.229249,6.7210436,8.212838,9.704633,11.196427,12.688222,14.1800165,15.671812,14.915726,14.396589,9.430599,11.866501,9.233663,4.2943797
1020,-44.16292205822233,-20.072094139852,-60.0,40.0,0.91512394,0.41756633,0.24028625,0.0001782693,32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,9.753325,5.558037,4.506154,6.056336,7.606518,9.1567,10.7068815,12.257064,13.807245,15.357428,14.830126,14.517001,13.1938715,14.51911,9.231693,4.0313354
