point_id,radar_y,radar_x,velocity_mm_yr,dem_error_m,constant_phase_rad,gamma,rmse_rad,gamma_initial,rmse_initial_rad,amplitude_dispersion_index,mean_amplitude,valid_pair_count,latitude,longitude
699,1487.5,19114.5,-60.0,-36.0,1.7918854,0.8248223,0.62379014,0.35988715,1.355048,0.22112992,0.00010524349,32,-20.092957537270543,-44.09277418618706
704,1463.5,21556.5,-60.0,40.0,-0.88680446,0.9730441,0.23360339,0.49505782,1.2220825,0.21389751,0.00015998124,32,-20.073012654203758,-44.16227849976329
738,1446.5,21544.5,-58.0,40.0,-0.97786313,0.9537537,0.30705687,0.46456742,1.2021791,0.21450779,8.5356805e-05,32,-20.071044409164273,-44.161377517920634
743,1567.5,19172.5,-34.0,-32.0,-2.770319,0.963839,0.27309382,0.46462232,1.1717582,0.2487394,0.00023321668,32,-20.102929978803935,-44.095219708331406
748,1478.5,21715.5,-60.0,40.0,-0.7017774,0.9394868,0.35379896,0.4812288,1.2246518,0.2385987,0.00016835134,32,-20.073799952219552,-44.167298255743795
749,1393.5,21550.5,-60.0,36.0,-1.1956413,0.9923783,0.1236501,0.53758603,1.104861,0.23288263,0.00010213836,32,-20.064614808701954,-44.15970426592713
753,1502.5,19146.5,-30.0,4.0,1.8955357,0.93633944,0.3616963,0.46416453,1.1998523,0.24223724,0.0002814164,32,-20.09453213330213,-44.09444743818056
772,1499.5,19127.5,-26.0,12.0,1.7734417,0.9233013,0.3976936,0.48072103,1.1686693,0.23818585,0.00025641994,32,-20.094400916966165,-44.093546456337904
778,1526.5,21007.5,-64.0,40.0,-1.1246109,0.993268,0.11620175,0.525702,1.1507576,0.217038,0.000119338845,32,-20.084690908104704,-44.148248925356235
781,1487.5,19115.5,-64.0,-40.0,1.6591699,0.9240293,0.3957767,0.44315082,1.1932906,0.23231132,0.00016137642,32,-20.092957537270543,-44.09277418618706
785,1478.5,21336.5,-58.0,32.0,-1.1831981,0.947436,0.32984012,0.49851537,1.1349251,0.24211547,8.705073e-05,32,-20.07655549527483,-44.15648647363194
795,1584.5,19221.5,-30.0,-40.0,-3.125837,0.8850024,0.53440773,0.4433767,1.2759767,0.22723202,0.0001532011,32,-20.10463579117149,-44.09740780709214
800,1481.5,21715.5,-60.0,40.0,-0.47984254,0.99912155,0.04192622,0.50038314,1.1914209,0.23580386,0.00012518003,32,-20.074324817563415,-44.1674269674356
809,1491.5,21490.5,-60.0,40.0,-0.5302432,0.9765173,0.21793333,0.48575768,1.1745634,0.2365612,0.00012580244,32,-20.076817927946763,-44.16163494130425
810,1401.5,21522.5,-64.0,40.0,-0.4641025,0.9807913,0.19675484,0.4931984,1.2060565,0.22297284,0.00012886837,32,-20.06566453938968,-44.15906070746809
812,1582.5,19187.5,-32.0,-28.0,3.1411452,0.9810543,0.19555587,0.5431636,1.1099436,0.24058457,0.00018460231,32,-20.10463579117149,-44.09612069017406
815,1491.5,19116.5,-34.0,-32.0,1.6862489,0.9477484,0.3269546,0.4639225,1.2004163,0.24155085,0.00027799365,32,-20.09361361895037,-44.092902897878865
817,1513.5,21182.5,-60.0,40.0,-0.7484385,0.97455287,0.22695863,0.48749062,1.1891918,0.23753211,0.00013418394,32,-20.081935365049425,-44.15326868133674
819,1427.5,21324.5,-58.0,40.0,-0.565291,0.96879125,0.251771,0.5041665,1.2176324,0.22422275,0.00012923428,32,-20.07025711114848,-44.15391223979578
826,1549.5,19184.5,-40.0,-32.0,2.210796,0.85571986,0.5583373,0.48099643,1.1642038,0.24542302,0.00029766848,32,-20.100436868420587,-44.09573455509864
839,1499.5,21230.5,-60.0,40.0,-1.093807,0.9838538,0.18029623,0.49878815,1.130165,0.23935002,0.00027133914,32,-20.079835903673974,-44.154169663179395
842,1492.5,21496.5,-62.0,36.0,-1.0378343,0.98912096,0.14776096,0.53046113,1.1150821,0.22787876,9.263296e-05,32,-20.077080360618694,-44.161892364687866
843,1538.5,19228.5,-42.0,-16.0,2.5996866,0.8399253,0.5894708,0.4489147,1.2046281,0.22958055,0.00012341807,32,-20.098731056053033,-44.097150383708524
849,1539.5,19220.5,-40.0,-16.0,3.0531375,0.8082655,0.64302075,0.3865662,1.316683,0.23864205,0.00013250821,32,-20.098862272389,-44.09689296032491
878,1498.5,21271.5,-60.0,40.0,-0.9439341,0.98164153,0.19241036,0.50281405,1.1554395,0.24028865,0.00024076854,32,-20.079442254666077,-44.155328068405666
879,1524.5,21120.5,-62.0,40.0,-0.8870819,0.94224805,0.34635422,0.47005823,1.2152352,0.23466736,0.00017846754,32,-20.083772393752945,-44.15172414103505
881,1538.5,19231.5,-40.0,-16.0,2.5140772,0.8462761,0.57560474,0.48631805,1.1639234,0.22890337,7.089602e-05,32,-20.098731056053033,-44.09727909540033
902,1463.5,19111.5,-54.0,-32.0,1.851952,0.9236139,0.3990633,0.4296697,1.2585865,0.23943725,0.00012808619,32,-20.090201994215263,-44.09135835757717
917,1474.5,19094.5,-66.0,-28.0,1.5190643,0.8399489,0.58606946,0.3593432,1.315527,0.23359168,6.524553e-05,32,-20.091645373910886,-44.091744492652595
922,1523.5,19192.5,-32.0,-16.0,1.986766,0.8334973,0.6023138,0.4490721,1.2366017,0.22462654,0.00019463511,32,-20.09702524368548,-44.095863266790445
953,1539.5,19227.5,-42.0,-12.0,2.8248644,0.81594616,0.6319421,0.43559134,1.2498281,0.22483456,0.00016212075,32,-20.098862272389,-44.097150383708524
988,1402.5,21521.5,-64.0,36.0,-0.49714974,0.9466307,0.33186823,0.46503484,1.2347527,0.23593827,9.492854e-05,32,-20.06592697206161,-44.1591894191599
991,1545.5,21279.5,-60.0,40.0,-0.6759823,0.9994936,0.03182455,0.5027816,1.147484,0.23950803,0.00027012592,32,-20.08482212444067,-44.1575161671664
1001,1492.5,21497.5,-64.0,32.0,-1.5896491,0.96615434,0.26191953,0.50016516,1.1684014,0.23441048,8.023096e-05,32,-20.076817927946763,-44.161892364687866
1002,1504.5,19148.5,-34.0,-32.0,1.2311689,1.0,0.00039513933,0.5228927,1.110514,0.22878867,0.00025367626,32,-20.09492578231003,-44.09444743818056
1010,1527.5,21180.5,-62.0,40.0,-1.0673506,0.99335134,0.11545927,0.4891825,1.1989082,0.23778822,0.00019389139,32,-20.083509961081013,-44.153654816412164
1020,1458.5,21588.5,-60.0,40.0,-0.98772335,0.91512394,0.41756633,0.47934744,1.2021703,0.24028625,0.0001782693,32,-20.072094139852,-44.16292205822233
1034,1495.5,21500.5,-60.0,40.0,-1.0371727,0.981273,0.1944176,0.503478,1.1601524,0.24814238,0.00010865971,32,-20.07721157695466,-44.16202107637967
1040,1495.5,21494.5,-60.0,40.0,-0.941071,0.96591824,0.26365894,0.5197271,1.1303673,0.2468073,0.00010343269,32,-20.07721157695466,-44.161892364687866
1050,1562.5,19158.5,-38.0,-36.0,2.917676,0.93953866,0.35215226,0.46759936,1.2244153,0.24512702,0.00030498733,32,-20.102405113460073,-44.09457614987237
1070,1544.5,21278.5,-60.0,36.0,-0.8565843,0.96219236,0.28010356,0.47109288,1.2024479,0.23884472,0.00017387042,32,-20.08482212444067,-44.1575161671664
1072,1475.5,19093.5,-64.0,-36.0,1.3491008,0.91248626,0.42968604,0.4091091,1.2626865,0.23979232,7.8801335e-05,32,-20.091645373910886,-44.091744492652595
1076,1401.5,21511.5,-60.0,40.0,-1.1572258,0.93656856,0.36525702,0.45427796,1.2480091,0.23667216,7.3392395e-05,32,-20.06592697206161,-44.15880328408448
1079,1426.5,21324.5,-60.0,40.0,-1.1024591,0.9695847,0.24850449,0.5265913,1.158568,0.24799877,9.992429e-05,32,-20.07025711114848,-44.15391223979578
1091,1547.5,21304.5,-58.0,36.0,-1.2686906,0.8887288,0.4815745,0.44863352,1.2820591,0.24550791,0.00012143039,32,-20.0850845571126,-44.158417149009054
1092,1452.5,21193.5,-64.0,40.0,-1.2333491,0.87775964,0.53542435,0.40692848,1.3017265,0.2352003,0.00030330935,32,-20.074324817563415,-44.1509518708842
1099,1492.5,19130.5,-52.0,-36.0,1.3700316,0.8961929,0.46807668,0.42347446,1.2402163,0.23183072,0.00010412827,32,-20.09361361895037,-44.093546456337904
1102,1457.5,21588.5,-60.0,40.0,-0.91876096,0.91454065,0.42063314,0.4449015,1.2404866,0.23443252,0.00013330363,32,-20.072094139852,-44.16292205822233
1108,1479.5,21036.5,-60.0,40.0,-1.409153,0.99970615,0.02424301,0.51641834,1.1123177,0.23583807,8.263391e-05,32,-20.07878617298625,-44.14734794351358
1117,1463.5,21755.5,-58.0,36.0,-0.56403244,0.981466,0.19336696,0.47379807,1.2138227,0.22862582,0.0001814576,32,-20.071831707180067,-44.16768439081922
1127,1487.5,19112.5,-62.0,-40.0,1.8667525,0.8971481,0.47378388,0.42399493,1.2634908,0.23896502,0.00011133063,32,-20.09308875360651,-44.09264547449525
1146,1427.5,21534.5,-56.0,40.0,-1.0881671,0.9864666,0.1649596,0.51408637,1.2234347,0.24976282,0.00036398857,32,-20.068813731452856,-44.16034782438617
1153,1539.5,21046.5,-62.0,36.0,-1.1706887,0.99220043,0.1250837,0.50743556,1.1708668,0.2397805,0.00020716414,32,-20.085871855128396,-44.150050889041545
1155,1559.5,19159.5,-34.0,-40.0,2.6222658,0.92435986,0.39511356,0.49736667,1.1899273,0.23405898,0.00023943702,32,-20.102011464452175,-44.09444743818056
1159,1497.5,19125.5,-28.0,0.0,1.6394793,0.9480586,0.3266401,0.45417884,1.2121117,0.24105251,0.00034425358,32,-20.09400726795827,-44.093546456337904
1163,1588.5,19223.5,-28.0,-40.0,-2.945689,0.9311042,0.37839893,0.39690837,1.2798169,0.24166062,0.0001920892,32,-20.105029440179386,-44.097665230475755
1174,1560.5,19176.5,-36.0,-40.0,2.954911,0.9113488,0.42841828,0.4495715,1.218904,0.24216647,0.00012990848,32,-20.102011464452175,-44.095219708331406
1181,1486.5,19083.5,-28.0,-8.0,2.0925488,0.8859077,0.49635297,0.41307685,1.2681628,0.23633368,0.00021885987,32,-20.093219969942474,-44.09161578096079
1189,1538.5,19227.5,-42.0,-16.0,2.6526544,0.8359385,0.6007249,0.46230558,1.1919761,0.24258535,0.00012660914,32,-20.098731056053033,-44.097150383708524
1191,1513.5,19168.5,-28.0,-12.0,1.2717166,0.8651284,0.5359111,0.45500827,1.2100265,0.24847127,0.00020080352,32,-20.095844296661788,-44.095219708331406
1197,1486.5,21513.5,-60.0,40.0,-1.0680778,0.9665673,0.26143262,0.622835,1.037973,0.24416661,0.00011817686,32,-20.076161846266935,-44.16214978807148
